Date,is_school_out,is_holiday,TOTAL_VISITS,T - AWND,T - PRCP,T - SNOW,T - SNWD,T - TAVG,M_PRCP,M_SNWD,M_TAVG,day_of_week_num,month
2017-12-21,0,0,432.0,10.07,0.0,0.0,0.0,29,0.0,15,21,3,12
2017-12-22,1,0,48.0,4.47,0.14,4.0,0.0,32,0.3,19,24,4,12
2017-12-23,1,0,266.0,6.93,0.14,2.1,5.1,32,0.0,23,18,5,12
2017-12-24,1,1,283.0,4.7,0.13,1.8,3.9,17,0.3,23,19,6,12
2017-12-25,1,1,281.0,3.36,0.09,1.0,5.9,22,0.1,22,26,0,12
2017-12-26,1,0,2908.0,2.68,0.0,0.0,5.1,23,0.0,22,21,1,12
2017-12-27,1,0,2630.0,2.46,0.0,0.0,5.1,23,0.1,22,30,2,12
2017-12-28,1,0,2778.0,2.68,0.0,0.0,5.1,23,0.1,21,34,3,12
2017-12-29,1,0,2587.0,1.79,0.0,0.0,5.1,28,0.0,20,41,4,12
2017-12-30,1,0,3451.0,6.26,0.01,0.0,3.9,35,0.0,20,31,5,12
2017-12-31,1,0,2624.0,4.7,0.0,0.0,2.0,28,0.0,20,24,6,12
2018-01-01,1,1,2534.0,2.68,0.0,0.0,2.0,26,0.0,20,31,0,1
2018-01-02,1,0,1190.0,8.05,0.0,0.0,1.2,26,0.0,20,34,1,1
2018-01-03,1,0,1086.0,2.91,0.0,0.0,1.2,28,0.0,20,35,2,1
2018-01-04,1,0,891.0,2.01,0.0,0.0,1.2,26,0.0,19,39,3,1
2018-01-05,1,0,545.0,2.46,0.01,0.0,1.2,31,0.2,19,40,4,1
2018-01-06,0,0,869.0,4.03,0.08,0.0,1.2,34,0.1,18,33,5,1
2018-01-07,0,0,860.0,4.25,0.0,0.0,1.2,34,0.0,18,31,6,1
2018-01-12,0,0,712.0,4.92,0.01,0.0,0.0,44,0.1,24,31,4,1
2018-01-13,0,0,2739.0,4.03,0.0,0.0,0.0,40,0.1,23,32,5,1
2018-01-14,0,0,2494.0,5.59,0.0,0.0,0.0,39,0.0,23,35,6,1
2018-01-15,1,1,1698.0,6.04,0.0,0.0,0.0,38,0.0,22,39,0,1
2018-01-16,0,0,347.0,6.49,0.06,0.0,0.0,38,0.1,23,35,1,1
2018-01-17,0,0,511.0,8.28,0.0,0.0,0.0,37,0.0,23,35,2,1
2018-01-18,0,0,414.0,13.87,0.24,0.0,0.0,47,0.5,27,39,3,1
2018-01-19,0,0,3027.0,6.26,0.2,0.0,0.0,40,0.3,29,27,4,1
2018-01-20,0,0,6467.0,5.14,0.0,0.0,0.0,34,0.0,28,24,5,1
2018-01-21,0,0,4371.0,6.93,0.02,0.0,0.0,34,0.2,29,24,6,1
2018-01-22,0,0,1750.0,8.72,0.08,0.0,0.0,38,0.3,32,26,0,1
2018-01-23,0,0,1038.0,10.07,0.0,0.0,0.0,35,0.1,31,27,1,1
2018-01-24,0,0,947.0,13.42,0.0,0.0,0.0,43,0.0,31,35,2,1
2018-01-25,0,0,1475.0,8.5,0.09,0.1,0.0,43,0.2,33,28,3,1
2018-01-26,0,0,2161.0,7.38,0.0,0.0,0.0,36,0.3,36,24,4,1
2018-01-27,0,0,7144.0,11.18,0.02,0.0,0.0,36,0.7,40,29,5,1
2018-01-28,0,0,6480.0,4.03,0.0,0.0,0.0,40,0.0,38,36,6,1
2018-01-29,0,0,908.0,6.26,0.0,0.0,0.0,40,0.0,37,40,0,1
2018-01-30,0,0,589.0,12.3,0.0,0.0,0.0,50,0.0,36,36,1,1
2018-01-31,0,0,984.0,3.58,0.0,0.0,0.0,38,0.0,36,26,2,1
2018-02-01,0,0,989.0,2.01,0.0,0.0,0.0,40,0.1,36,31,3,2
2018-02-02,0,0,2433.0,4.47,0.0,0.0,0.0,47,0.0,33,38,4,2
2018-02-03,0,0,4446.0,6.49,0.0,0.0,0.0,49,0.0,32,38,5,2
2018-02-04,0,0,1769.0,3.36,0.0,0.0,0.0,50,0.0,30,39,6,2
2018-02-05,0,0,328.0,6.49,0.0,0.0,0.0,48,0.0,30,34,0,2
2018-02-06,0,0,317.0,5.14,0.0,0.0,0.0,41,0.0,30,30,1,2
2018-02-07,0,0,654.0,6.93,0.0,0.0,0.0,44,0.0,30,35,2,2
2018-02-08,0,0,681.0,6.71,0.0,0.0,0.0,48,0.0,29,41,3,2
2018-02-09,0,0,848.0,8.72,0.0,0.0,0.0,46,0.0,30,33,4,2
2018-02-10,0,0,2965.0,11.86,0.0,0.0,0.0,38,0.0,30,24,5,2
2018-02-11,0,0,1576.0,9.62,0.0,0.0,0.0,34,0.0,29,24,6,2
2018-02-12,0,0,315.0,7.83,0.0,0.0,0.0,34,0.0,30,25,0,2
2018-02-13,0,0,401.0,5.82,0.0,0.0,0.0,31,0.0,29,25,1,2
2018-02-14,0,0,585.0,8.5,0.24,0.5,0.0,37,0.4,37,26,2,2
2018-02-15,0,0,2652.0,6.93,0.0,0.0,0.0,33,0.1,36,21,3,2
2018-02-16,0,0,2332.0,6.71,0.0,0.0,0.0,32,0.1,38,22,4,2
2018-02-17,0,0,4923.0,12.3,0.0,0.0,0.0,38,0.1,39,32,5,2
