Date,IS_HOLIDAY,SCHOOL_OUT,TOTAL_VISITS,M_PRCP,M_SNWD,M_TAVG,T_AWND,T_PRCP,T_SNOW,T_TAVG,day_of_week_num,Month
2015-11-21,0,0,588,0.0,12,36,4.92,0.0,0.0,44,5,11
2015-11-27,0,1,1196,0.0,11,35,6.26,0.0,0.0,36,4,11
2015-11-28,0,0,1668,0.0,11,38,9.17,0.0,0.0,38,5,11
2015-11-29,0,0,1328,0.0,11,39,12.3,0.0,0.0,36,6,11
2015-12-04,0,0,648,0.9,18,30,9.84,0.26,0.0,47,4,12
2015-12-05,0,0,2236,0.0,18,32,17.0,0.39,0.0,45,5,12
2015-12-06,0,0,2529,0.9,23,34,13.2,0.75,0.0,49,6,12
2015-12-11,0,0,1764,0.8,28,29,10.51,0.72,0.0,45,4,12
2015-12-12,0,0,4316,1.7,35,30,10.29,0.72,0.0,44,5,12
2015-12-13,0,0,5459,2.2,50,27,10.07,0.63,0.0,46,6,12
2015-12-14,0,0,2063,0.5,49,24,3.8,0.02,0.0,42,0,12
2015-12-15,0,0,1914,0.0,46,25,3.58,0.12,0.0,39,1,12
2015-12-16,0,0,1205,0.5,47,29,6.04,0.1,0.0,42,2,12
2015-12-17,0,0,1606,3.0,50,33,17.0,1.87,0.0,41,3,12
2015-12-18,0,0,1923,0.4,49,30,10.07,0.23,0.0,48,4,12
2015-12-19,0,0,5589,0.3,48,27,7.61,0.15,0.0,44,5,12
2015-12-20,0,0,4864,0.7,54,27,9.62,0.35,0.0,44,6,12
2015-12-21,0,1,2383,2.5,64,28,15.21,0.8,0.0,45,0,12
2015-12-22,0,1,3690,1.3,69,25,4.92,0.2,0.0,44,1,12
2015-12-23,0,1,4469,2.6,85,23,12.75,0.59,0.0,41,2,12
2015-12-24,1,1,3900,0.3,83,23,3.8,0.06,0.0,40,3,12
2015-12-25,1,1,4181,0.0,80,21,3.8,0.01,0.0,39,4,12
2015-12-26,0,0,6217,0.2,80,20,7.61,0.0,0.0,38,5,12
2015-12-27,0,0,6042,0.4,81,27,11.41,0.27,0.1,38,6,12
2015-12-28,0,1,6070,0.0,80,26,3.13,0.03,0.0,36,0,12
2015-12-29,0,1,5525,0.0,80,24,8.5,0.24,0.0,38,1,12
2015-12-30,0,1,7375,0.0,78,19,10.29,0.0,0.0,36,2,12
2015-12-31,1,1,6331,0.0,76,20,20.58,0.0,0.0,36,3,12
2016-01-01,1,1,5932,0.0,75,26,25.28,0.0,0.0,34,4,1
2016-01-02,0,0,6787,0.0,75,19,24.16,0.0,0.0,32,5,1
2016-01-03,0,0,3563,0.4,74,23,11.63,0.31,1.3,29,6,1
2016-01-04,0,0,893,0.0,74,33,4.03,0.01,0.0,32,0,1
2016-01-05,0,0,973,0.3,74,32,7.16,0.17,0.0,35,1,1
2016-01-06,0,0,2409,0.0,73,30,5.14,0.0,0.0,37,2,1
2016-01-07,0,0,2272,0.1,74,30,2.01,0.0,0.0,40,3,1
2016-01-08,0,0,3027,0.1,73,29,3.58,0.0,0.0,38,4,1
2016-01-09,0,0,7436,0.1,73,29,10.51,0.03,0.0,40,5,1
2016-01-10,0,0,7140,0.0,73,29,10.51,0.0,0.0,40,6,1
2016-01-11,0,0,958,0.3,73,31,12.08,0.2,0.0,41,0,1
2016-01-12,0,0,719,0.5,74,34,14.32,0.84,0.0,40,1,1
2016-01-13,0,0,2069,0.7,76,32,8.05,0.86,0.0,43,2,1
2016-01-14,0,0,2690,0.9,84,28,8.05,0.29,0.0,44,3,1
2016-01-15,0,0,4540,0.4,82,30,11.41,0.1,0.0,42,4,1
2016-01-16,0,0,6279,0.5,82,33,13.42,0.52,0.0,45,5,1
2016-01-17,0,0,6018,0.8,85,32,13.42,0.87,0.0,45,6,1
2016-01-18,1,1,7595,0.2,85,31,11.18,0.25,0.0,44,0,1
2016-01-19,0,0,1239,1.4,95,31,10.51,0.64,0.0,45,1,1
2016-01-20,0,0,4069,0.5,95,29,10.96,0.15,0.0,46,2,1
2016-01-21,0,0,718,0.0,90,39,15.66,0.25,0.0,47,3,1
2016-01-22,0,0,1916,0.3,88,36,9.17,0.3,0.0,50,4,1
2016-01-23,0,0,7947,0.9,94,32,5.59,0.21,0.0,48,5,1
2016-01-24,0,0,6876,0.4,93,29,3.8,0.0,0.0,46,6,1
2016-01-25,0,0,2361,0.0,91,32,8.72,0.0,0.0,46,0,1
2016-01-26,0,0,307,0.2,87,40,9.62,0.08,0.0,47,1,1
2016-01-27,0,0,1786,0.0,84,42,14.54,0.03,0.0,49,2,1
2016-01-28,0,0,644,1.3,82,36,10.74,0.56,0.0,51,3,1
2016-01-29,0,0,3035,1.0,88,29,10.74,0.28,0.0,48,4,1
2016-01-30,0,0,8293,0.8,95,25,6.71,0.15,0.0,44,5,1
2016-01-31,0,0,7182,0.5,94,23,3.13,0.13,0.0,41,6,1
2016-02-01,0,0,1752,0.0,94,24,6.26,0.05,0.0,41,0,2
2016-02-02,0,0,1437,0.1,92,24,8.05,0.0,0.0,41,1,2
2016-02-03,0,0,2674,0.7,97,29,14.76,0.26,0.0,44,2,2
2016-02-04,0,0,2909,2.5,106,31,9.4,0.4,0.0,48,3,2
2016-02-05,0,0,2506,0.2,105,32,8.72,0.12,0.0,47,4,2
2016-02-06,0,0,7392,0.0,103,30,3.8,0.0,0.0,48,5,2
2016-02-07,0,0,6029,0.0,101,40,1.79,0.0,0.0,48,6,2
2016-02-08,0,0,1349,0.0,97,50,4.03,0.0,0.0,49,0,2
2016-02-09,0,0,1045,0.0,95,48,8.95,0.0,0.0,52,1,2
2016-02-10,0,0,2074,0.0,93,44,6.71,0.0,0.0,50,2,2
2016-02-11,0,0,868,0.4,90,43,7.38,0.13,0.0,52,3,2
2016-02-12,0,0,1372,0.5,90,37,10.74,0.27,0.0,51,4,2
2016-02-13,0,0,6636,1.2,96,31,8.72,0.26,0.0,49,5,2
2016-02-14,0,0,809,2.4,90,38,8.05,0.19,0.0,51,6,2
2016-02-15,1,1,2708,0.0,88,38,7.38,0.0,0.0,56,0,2
2016-02-16,0,0,642,0.1,86,38,4.47,0.35,0.0,53,1,2
2016-02-17,0,0,1139,0.4,88,40,8.95,0.35,0.0,51,2,2
2016-02-18,0,0,2039,0.9,95,30,10.07,0.42,0.0,47,3,2
2016-02-19,0,0,3849,0.9,103,30,14.32,0.24,0.0,48,4,2
2016-02-20,0,0,8370,0.2,101,28,4.7,0.05,0.0,44,5,2
2016-02-21,0,0,5550,0.3,102,30,6.49,0.1,0.0,44,6,2
2016-02-22,0,0,1520,0.1,101,28,2.91,0.0,0.0,43,0,2
2016-02-23,0,0,1354,0.0,100,32,12.3,0.0,0.0,44,1,2
2016-02-24,0,0,1609,0.0,98,39,6.71,0.0,0.0,51,2,2
2016-02-25,0,0,1995,0.0,96,43,4.7,0.0,0.0,49,3,2
2016-02-26,0,0,1756,0.4,94,42,5.14,0.38,0.0,53,4,2
2016-02-27,0,0,4435,0.9,94,34,9.84,0.13,0.0,53,5,2
2016-02-28,0,0,4031,0.4,96,32,13.2,0.08,0.0,51,6,2
2016-02-29,0,0,1197,0.6,99,30,8.05,0.32,0.0,49,0,2
2016-03-01,0,0,175,0.3,96,34,16.78,0.31,0.0,49,1,3
2016-03-02,0,0,876,0.0,95,35,9.4,0.36,0.0,50,2,3
2016-03-03,0,0,924,0.3,95,35,8.28,0.05,0.0,52,3,3
2016-03-04,0,0,1680,0.0,94,40,7.83,0.0,0.0,51,4,3
2016-03-05,0,0,2413,0.5,91,39,11.18,0.33,0.0,54,5,3
2016-03-06,0,0,4100,0.6,95,31,11.86,0.25,0.0,53,6,3
2016-03-07,0,0,1177,0.3,97,28,9.62,0.04,0.0,48,0,3
2016-03-08,0,0,1012,0.4,100,28,8.28,0.11,0.0,45,1,3
2016-03-09,0,0,1284,0.8,101,34,15.21,0.6,0.0,45,2,3
2016-03-10,0,0,1273,0.3,99,33,11.41,0.24,0.0,51,3,3
2016-03-11,0,0,2364,0.1,98,36,8.28,0.16,0.0,46,4,3
2016-03-12,0,0,5486,0.5,100,30,12.3,0.34,0.0,48,5,3
2016-03-13,0,0,4392,1.6,113,29,13.87,0.55,0.0,46,6,3
2016-03-14,0,0,2408,2.1,125,26,11.41,0.34,0.0,45,0,3
2016-03-15,0,0,2631,1.6,132,28,5.37,0.25,0.0,45,1,3
2016-03-16,0,0,2213,0.3,127,32,4.47,0.06,0.0,47,2,3
2016-03-17,0,0,1990,0.0,124,29,12.97,0.0,0.0,47,3,3
2016-03-18,0,0,2505,0.0,122,34,20.58,0.0,0.0,53,4,3
2016-03-19,0,0,5010,0.0,118,42,8.05,0.0,0.0,55,5,3
2016-03-20,0,0,1617,0.4,112,39,9.62,0.23,0.0,55,6,3
2016-03-21,0,1,1785,0.3,113,32,9.84,0.14,0.0,51,0,3
2016-03-22,0,1,2325,0.8,117,30,6.71,0.11,0.0,48,1,3
2016-03-23,0,1,2371,0.4,118,32,10.51,0.09,0.0,50,2,3
2016-03-24,0,1,1959,0.5,120,29,9.84,0.03,0.0,50,3,3
2016-03-25,0,1,3341,0.5,120,29,2.91,0.01,0.0,49,4,3
