Date,Day of week,is_school_out,is_holiday,Day Tickets,Night Ticket,Total Ticket,SP Day,SP Night,Total SP,Total VIsits Alpine,T - AWND,T - PRCP,T - SNOW,T - SNWD,T - TAVG,T - TMAX,T - TMIN,T - WSF2,T - WSF5,M_PRCP,M_SNWD,M_TAVG,M_TMAX,M_TMIN,M_TOBS,M_WESD
11/21/2017,Tue,1,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,7.61,0.05,0,0,49,57,42,17,21,0.2,7,43,47,41,44,2.8
11/22/2017,Wed,1,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,4.47,0.01,0,0,55,63,47,15,19.9,0.1,6,47,56,42,49,2.4
11/23/2017,Thu,1,1, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,7.16,0.01,0,0,53,66,46,21,31.1,0.1,4,49,52,42,42,2
11/24/2017,Fri,1,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,6.49,0.26,0,0,53,55,39,15,21,0.1,4,35,42,28,30,1.7
11/25/2017,Sat,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,7.38,0,0,0,43,50,38,14.1,19,0.2,3,41,50,30,49,1.6
11/26/2017,Sun,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,7.83,0,0,0,48,62,40,21,27.1,0,2,50,53,42,43,1.2
11/27/2017,Mon,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,11.63,0,0,0,51,60,31,25.1,31.1,0.1,3,32,43,24,24,1.3
11/28/2017,Tue,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,10.74,0,0,0,37,49,28,23.9,33.1,0,3,30,35,23,30,1.3
11/29/2017,Wed,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,4.92,0,0,0,39,42,28,15,19.9,0,3,25,31,20,22,1.3
11/30/2017,Thu,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,6.04,0,0,0,32,39,27,14.1,18.1,0,3,29,34,20,30,1.3
12/1/2017,Fri,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,2.91,0,0,0,33,43,26,10.1,14.1,0,3,31,36,23,33,1.5
12/2/2017,Sat,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,3.8,0,0,0,36,42,28,13,17,0,3,35,39,27,33,1.5
12/3/2017,Sun,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,10.96,0.35,0.1,0,36,42,33,28,36.9,1.1,14,26,33,20,21,2.8
12/4/2017,Mon,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,7.38,0,0,0,35,41,27,19.9,25.1,0,13,21,24,19,21,2.8
12/5/2017,Tue,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,3.36,0,0,0,29,38,22,10.1,13,0,12,25,32,18,24,2.8
12/6/2017,Wed,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,6.26,0,0,0,29,38,23,15,19,0,12,25,35,19,30,2.8
12/7/2017,Thu,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,2.68,0,0,0,26,32,20,8.1,12.1,0,11,38,43,30,36,2.8
12/8/2017,Fri,0,0, 0 , 0 , 0 ,NULL,NULL,0.00,0.00,2.91,0,0,0,25,30,20,8.9,12.1,0,11,37,47,29,29,2.8
