Date,IS_HOLIDAY,Skier visits day,SV Nights,TOTAL_VISITS,M_TEMPAVERAGE_F,M_PRECIP_INCHES,T_PRCP,T_TMAX,T_TMIN,T_TAVG
12/14/2015,0,755,0,755,24,0.5,1.05,38,32,35
12/17/2015,0,735,0,735,35,0.1,0.13,38,30,34
12/18/2015,0,440,0,440,31,0.8,0.1,51,35,43
12/19/2015,0,1330,0,1330,25,0.3,0.77,51,32,41.5
12/22/2015,0,463,0,463,31,1,0.89,48,38,43
12/23/2015,0,753,0,753,24,0.4,0.2,45,34,39.5
12/24/2015,1,885,0,885,22,0.5,0.15,43,32,37.5
12/25/2015,1,720,0,720,21,0.1,0.21,39,31,35
12/26/2015,0,1931,0,1931,22,0,0,40,24,32
12/27/2015,0,1333,0,1333,27,0.2,0,42,26,34
12/28/2015,0,1075,0,1075,25,0.1,0.08,40,32,36
12/29/2015,0,1329,0,1329,24,0.2,0.1,41,32,36.5
12/30/2015,0,1288,0,1288,24,0,0.1,45,33,39
12/31/2015,1,1255,0,1255,18,0,0,42,28,35
1/1/2016,1,975,0,975,15,0,0,43,30,36.5
1/2/2016,0,1211,0,1211,21,0,0,43,29,36
1/3/2016,0,847,0,847,31,0.3,0,43,29,36
1/4/2016,0,363,0,363,32,0.1,0,50,32,41
1/7/2016,0,535,361,896,27,0,0,51,24,37.5
1/8/2016,0,683,465,1148,28,0.2,0,46,24,35
1/9/2016,0,1124,0,1124,29,0.5,0.03,52,24,38
1/10/2016,0,1521,0,1521,29,0,0.02,48,30,39
1/11/2016,0,390,0,390,33,0,0,51,40,45.5
1/14/2016,0,488,328,816,26,1.1,0.12,51,27,39
1/15/2016,0,915,577,1492,27,0.3,0.24,44,30,37
1/16/2016,0,913,0,913,32,0.9,0.12,47,31,39
1/17/2016,0,0,0,0,34,1.4,0.42,52,37,44.5
1/18/2016,1,1657,0,1657,30,0.1,0.59,51,29,40
1/21/2016,0,370,321,691,36,0.4,0,55,28,41.5
1/22/2016,0,635,425,1060,34,1,0.3,63,43,53
1/23/2016,0,1248,0,1248,31,0.8,0.35,57,40,48.5
1/24/2016,0,1223,0,1223,29,0.2,0.03,49,37,43
1/25/2016,0,773,0,773,31,0,0.12,51,30,40.5
1/28/2016,0,151,208,359,37,0.8,0,62,40,51
1/29/2016,0,241,400,641,32,0.6,0.7,53,41,47
1/30/2016,0,1035,0,1035,25,0.4,0.22,50,35,42.5
1/31/2016,0,1312,0,1312,20,0.2,0.04,46,32,39
2/1/2016,0,632,0,632,22,0,0.02,40,30,35
2/4/2016,0,717,442,1159,31,0.2,0,46,28,37
2/5/2016,0,508,450,958,36,0,0,53,29,41
2/6/2016,0,966,320,1286,39,0,0,54,32,43
2/7/2016,0,1172,0,1172,45,0,0,56,33,44.5
2/8/2016,0,536,0,536,47,0,0,63,33,48
2/11/2016,0,370,240,610,46,0,0,61,39,50
2/12/2016,0,345,343,688,41,0,0,65,34,49.5
2/13/2016,0,980,0,980,37,0,0.04,62,31,46.5
2/14/2016,0,425,0,425,41,0.1,0.05,49,34,41.5
2/15/2016,1,679,0,679,41,0,0,54,41,47.5
2/18/2016,0,468,257,725,29,1.4,0.64,61,36,48.5
2/19/2016,0,353,328,681,28,1,0.02,51,39,45
2/20/2016,0,1680,750,2430,27,0,0.16,51,27,39
2/21/2016,0,923,0,923,31,0.1,0,52,27,39.5
2/22/2016,0,578,0,578,28,0,0.05,45,31,38
2/25/2016,0,666,317,983,44,0,0,63,30,46.5
2/26/2016,0,263,211,474,41,0.8,0,65,31,48
2/27/2016,0,805,0,805,34,0.1,0.21,65,31,48
2/28/2016,0,665,0,665,36,0,0,54,35,44.5
2/29/2016,0,310,0,310,37,0,0,58,26,42
3/2/2016,0,275,0,275,40,0.4,0.02,67,29,48
3/3/2016,0,673,205,878,37,0.2,0.08,68,29,48.5
3/4/2016,0,764,237,1001,39,0.1,0.02,65,36,50.5
3/5/2016,0,115,0,115,37,2.4,0.02,65,39,52
3/6/2016,0,603,0,603,29,0.8,0.45,63,36,49.5
3/7/2016,0,435,0,435,26,0.1,0.22,60,31,45.5
3/10/2016,0,235,155,390,34,1,0.2,61,45,53
3/11/2016,0,388,267,655,35,0.1,0.17,57,42,49.5
3/12/2016,0,541,0,541,30,0.9,0.02,59,43,51
3/13/2016,0,0,0,0,31,2.3,0.25,49,38,43.5
3/14/2016,0,928,0,928,26,0.3,0.39,53,36,44.5
3/17/2016,0,605,0,605,41,0,0,63,32,47.5
3/18/2016,0,440,0,440,44,0,0,68,31,49.5
3/19/2016,0,828,0,828,43,0,0,70,33,51.5
3/20/2016,0,93,0,93,37,1.1,0.05,68,33,50.5
3/21/2016,0,233,0,233,30,1.1,0.3,69,33,51
3/24/2016,0,658,0,658,36,0.1,0.02,55,33,44
3/25/2016,0,653,0,653,33,0,0,60,40,50
3/26/2016,0,383,0,383,38,0.1,0,55,34,44.5
3/27/2016,0,233,0,233,30,0,0.05,48,35,41.5
3/28/2016,0,225,0,225,25,0,0.02,54,35,44.5
3/31/2016,0,265,0,265,42,0,0,67,31,49
4/1/2016,0,305,0,305,46,0,0,71,32,51.5
4/2/2016,0,503,0,503,46,0,0,75,35,55
4/3/2016,0,1118,0,1118,45,0,0,74,37,55.5
4/8/2016,0,223,0,223,51,0,0,86,40,63
4/9/2016,0,388,0,388,46,0,0,79,44,61.5
4/10/2016,0,705,0,705,44,0,0,75,41,58
4/16/2016,0,757,0,757,45,0,0,61,32,46.5
4/17/2016,0,738,0,738,51,0,0,73,36,54.5
12/1/2016,0,0,0,0,25,0,0.08,52,32,42
12/2/2016,0,0,0,0,31,0.2,0,44,27,35.5
12/3/2016,0,0,0,0,32,0,0,43,27,35
12/4/2016,0,978,0,978,33,0.4,0,46,27,36.5
12/4/2016,0,978,0,978,33,0.4,0,46,27,36.5
12/5/2016,0,329,0,329,22,0.1,0.5,45,31,38
12/5/2016,0,329,0,329,22,0.1,0.5,45,31,38
12/8/2016,0,228,0,228,33,0.3,0.01,43,22,32.5
12/8/2016,0,228,0,228,33,0.3,0.01,43,22,32.5
12/9/2016,0,241,0,241,36,0.5,0.1,52,22,37
12/9/2016,0,241,0,241,36,0.5,0.1,52,22,37
12/10/2016,0,1260,0,1260,31,0.5,0.67,51,42,46.5
12/10/2016,0,1260,0,1260,31,0.5,0.67,51,42,46.5
12/11/2016,0,1137,0,1137,27,0,0.03,46,29,37.5
12/11/2016,0,1137,0,1137,27,0,0.03,46,29,37.5
12/12/2016,0,342,0,342,27,0,0.01,44,30,37
12/12/2016,0,342,0,342,27,0,0.01,44,30,37
12/15/2016,0,703,0,703,32,1.1,1.12,52,35,43.5
12/15/2016,0,703,0,703,32,1.1,1.12,52,35,43.5
12/16/2016,0,678,0,678,18,0.2,0.04,45,33,39
12/16/2016,0,678,0,678,18,0.2,0.04,45,33,39
12/17/2016,0,1038,0,1038,15,0.1,0,39,17,28
12/17/2016,0,1038,0,1038,15,0.1,0,39,17,28
12/18/2016,0,921,0,921,24,0,0,36,16,26
12/18/2016,0,921,0,921,24,0,0,36,16,26
12/19/2016,0,608,0,608,36,0,0,43,18,30.5
12/19/2016,0,608,0,608,36,0,0,43,18,30.5
12/20/2016,0,259,0,259,36,0,0.01,43,18,30.5
12/20/2016,0,259,0,259,36,0,0.01,43,18,30.5
12/21/2016,0,729,0,729,34,0,0.08,40,33,36.5
12/21/2016,0,729,0,729,34,0,0.08,40,33,36.5
12/22/2016,0,563,0,563,36,0.1,0,46,25,35.5
12/22/2016,0,563,0,563,36,0.1,0,46,25,35.5
12/23/2016,0,828,0,828,27,1.6,0.01,46,26,36
12/23/2016,0,828,0,828,27,1.6,0.01,46,26,36
12/24/2016,1,1380,0,1380,21,0,0.44,44,32,38
